Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
DoubleSMACross,5,50,0.01,31.3,36,10,26,0.2778,513.6854,-195.7025,2,6,2.6248,243.5,245.0,246.0,99.0,208.375
DoubleSMACross,5,51,0.04,31.17,35,11,24,0.3143,462.0143,-199.3854,2,7,2.3172,235.5,243.5,227.5,157.0,215.875
DoubleSMACross,5,52,0.04,30.88,35,11,24,0.3143,469.3611,-202.524,2,7,2.3176,235.5,241.0,227.5,156.0,215.0
DoubleSMACross,5,53,0.08,29.23,35,13,22,0.3714,420.8253,-213.3469,4,7,1.9725,214.0,233.0,132.0,215.0,198.5
DoubleSMACross,5,54,0.07,28.62,32,12,20,0.375,428.6049,-226.3762,4,6,1.8933,220.5,230.0,129.5,226.0,201.5
DoubleSMACross,5,55,0.1,27.95,33,12,21,0.3636,447.5565,-210.8582,4,6,2.1225,197.5,220.0,149.0,193.0,189.875
DoubleSMACross,5,56,0.14,24.75,30,12,18,0.4,464.7859,-230.521,3,4,2.0162,131.5,138.0,93.5,208.0,142.75
DoubleSMACross,5,57,0.06,25.9,30,9,21,0.3,594.0766,-229.0756,3,6,2.5934,227.5,166.0,237.5,106.0,184.25
DoubleSMACross,5,58,0.06,26.26,32,9,23,0.2812,629.1773,-220.6682,3,6,2.8512,227.5,178.0,244.5,63.0,178.25
DoubleSMACross,5,59,0.03,28.46,32,9,23,0.2812,628.7598,-236.0353,3,7,2.6638,239.5,229.0,244.5,94.0,201.75
DoubleSMACross,5,60,0.03,27.07,30,9,21,0.3,606.053,-245.2212,3,6,2.4715,239.5,199.0,237.5,132.0,202.0
DoubleSMACross,5,61,0.06,26.78,31,11,20,0.3548,517.1134,-254.0873,3,5,2.0352,227.5,192.5,171.0,206.0,199.25
DoubleSMACross,5,62,0.09,25.71,29,10,19,0.3448,568.6724,-253.6033,3,5,2.2424,206.5,159.0,193.0,170.0,182.125
DoubleSMACross,5,63,0.1,25.64,27,9,18,0.3333,650.7663,-267.3529,3,5,2.4341,197.5,157.5,204.5,135.0,173.625
DoubleSMACross,5,64,0.12,25.91,28,10,18,0.3571,583.8824,-261.1191,4,5,2.2361,168.0,167.0,166.0,171.0,168.0
DoubleSMACross,5,65,0.14,23.73,27,10,17,0.3704,593.0827,-262.5722,3,4,2.2587,131.5,106.5,133.5,168.0,134.875
DoubleSMACross,5,66,0.2,23.99,24,10,14,0.4167,556.8794,-244.4683,3,4,2.2779,74.0,120.0,64.5,166.0,106.125
DoubleSMACross,5,67,0.14,24.58,25,8,17,0.32,679.9549,-236.0871,2,5,2.8801,131.5,133.0,218.0,59.0,135.375
DoubleSMACross,5,68,0.11,26.52,27,8,19,0.2963,681.1958,-229.8235,2,5,2.964,184.5,187.0,239.5,51.0,165.5
DoubleSMACross,5,69,0.11,26.3,27,8,19,0.2963,663.431,-223.1316,2,6,2.9733,184.5,180.5,239.5,49.0,163.375
DoubleSMACross,5,70,0.11,26.0,27,9,18,0.3333,580.6465,-229.602,2,6,2.5289,184.5,170.0,204.5,119.0,169.5
DoubleSMACross,5,71,0.15,23.62,25,9,16,0.36,585.294,-236.4813,3,5,2.475,113.5,103.0,159.5,129.5,126.375
DoubleSMACross,5,72,0.14,23.69,23,9,14,0.3913,579.0674,-266.5278,3,4,2.1726,131.5,105.0,110.0,182.0,132.125
DoubleSMACross,5,73,0.14,23.98,22,8,14,0.3636,635.5547,-256.7866,3,4,2.475,131.5,118.0,149.0,129.5,132.0
DoubleSMACross,5,74,0.13,24.93,22,8,14,0.3636,637.8217,-265.4363,3,4,2.4029,151.0,141.0,149.0,140.0,145.25
DoubleSMACross,5,75,0.2,23.29,21,8,13,0.381,632.7452,-223.6092,3,5,2.8297,74.0,91.5,123.5,65.5,88.625
DoubleSMACross,5,76,0.18,23.56,21,8,13,0.381,622.2025,-225.0515,3,5,2.7647,86.5,99.5,123.5,74.0,95.875
DoubleSMACross,5,77,0.18,22.9,20,9,11,0.45,547.4658,-258.9037,3,4,2.1146,86.5,83.0,31.0,195.0,98.875
DoubleSMACross,5,78,0.19,22.41,20,9,11,0.45,550.763,-250.7161,3,4,2.1968,81.0,80.0,31.0,177.0,92.25
DoubleSMACross,5,79,0.2,22.28,20,9,11,0.45,560.205,-251.8688,3,4,2.2242,74.0,79.0,31.0,172.0,89.0
DoubleSMACross,5,80,0.17,21.57,20,8,12,0.4,654.6292,-273.9567,2,4,2.3895,93.5,76.0,93.5,144.0,101.75
DoubleSMACross,5,81,0.18,21.51,20,8,12,0.4,653.6114,-268.7034,2,4,2.4325,86.5,75.0,93.5,136.0,97.75
DoubleSMACross,5,82,0.16,23.58,22,8,14,0.3636,655.8171,-253.9081,2,4,2.5829,101.0,102.0,149.0,109.0,115.25
DoubleSMACross,5,83,0.11,26.12,22,8,14,0.3636,609.9303,-265.9968,2,4,2.293,184.5,174.0,149.0,162.0,167.375
DoubleSMACross,5,84,0.22,18.47,21,9,12,0.4286,574.2327,-226.7642,2,4,2.5323,59.5,48.5,52.0,118.0,69.5
DoubleSMACross,5,85,0.27,18.47,19,9,10,0.4737,573.921,-205.5052,2,4,2.7927,27.5,48.5,18.0,72.0,41.5
DoubleSMACross,5,86,0.28,17.37,18,9,9,0.5,599.0755,-226.7952,3,4,2.6415,21.0,37.0,13.5,98.0,42.375
DoubleSMACross,5,87,0.31,15.48,17,10,7,0.5882,555.5016,-266.8993,3,3,2.0813,4.0,17.0,2.0,198.0,55.25
DoubleSMACross,5,88,0.29,17.82,18,9,9,0.5,597.9717,-222.9107,4,5,2.6826,14.5,43.0,13.5,90.0,40.25
DoubleSMACross,5,89,0.3,17.27,16,8,8,0.5,682.4079,-243.3018,3,4,2.8048,9.0,34.5,13.5,68.0,31.25
DoubleSMACross,5,90,0.25,17.27,15,7,8,0.4667,780.2681,-319.9177,3,3,2.439,43.5,34.5,25.0,134.0,59.25
DoubleSMACross,6,50,0.07,28.83,34,10,24,0.2941,588.2838,-216.5752,3,8,2.7163,220.5,232.0,241.0,83.0,194.125
DoubleSMACross,6,51,0.08,29.75,30,10,20,0.3333,564.2514,-244.1035,3,8,2.3115,214.0,236.0,204.5,158.0,203.125
DoubleSMACross,6,52,0.08,29.43,30,10,20,0.3333,564.5796,-243.04,3,8,2.323,214.0,235.0,204.5,155.0,202.125
DoubleSMACross,6,53,0.13,24.66,31,10,21,0.3226,562.422,-203.9831,3,7,2.7572,151.0,134.5,215.0,75.0,143.875
DoubleSMACross,6,54,0.13,23.83,28,10,18,0.3571,554.0611,-231.3161,3,5,2.3953,151.0,109.5,166.0,143.0,142.375
DoubleSMACross,6,55,0.14,23.87,27,10,17,0.3704,547.0658,-235.2332,3,5,2.3256,131.5,112.5,133.5,153.0,132.625
DoubleSMACross,6,56,0.13,24.36,27,9,18,0.3333,602.8322,-229.8862,3,5,2.6223,151.0,130.0,204.5,100.0,146.375
